Date,New_Cases,Total_Cases,Recovered_Cases,Active_Cases,new_death,total_death,population,test_kerala,total_test_kerala,literacy_rate_kerala
1/30/2020,1,1,0,1,0,0,34800000,0,0,93.91
1/31/2020,0,1,0,1,0,0,34800000,0,0,93.91
2/1/2020,0,1,0,1,0,0,34800000,0,0,93.91
2/2/2020,1,2,0,2,0,0,34800000,0,0,93.91
2/3/2020,1,3,0,3,0,0,34800000,0,0,93.91
2/4/2020,0,3,0,3,0,0,34800000,0,0,93.91
2/5/2020,0,3,0,3,0,0,34800000,0,0,93.91
2/6/2020,0,3,0,3,0,0,34800000,0,0,93.91
2/7/2020,0,3,0,3,0,0,34800000,0,0,93.91
2/8/2020,0,3,0,3,0,0,34800000,0,0,93.91
2/9/2020,0,3,0,3,0,0,34800000,0,0,93.91
2/10/2020,0,3,0,3,0,0,34800000,0,0,93.91
2/11/2020,0,3,0,3,0,0,34800000,0,0,93.91
2/12/2020,0,3,0,3,0,0,34800000,0,0,93.91
2/13/2020,0,3,0,3,0,0,34800000,0,0,93.91
2/14/2020,0,3,0,3,0,0,34800000,0,0,93.91
2/15/2020,0,3,0,3,0,0,34800000,0,0,93.91
2/16/2020,0,3,2,1,0,0,34800000,0,0,93.91
2/17/2020,0,3,0,1,0,0,34800000,0,0,93.91
2/18/2020,0,3,0,1,0,0,34800000,0,0,93.91
2/19/2020,0,3,0,1,0,0,34800000,0,0,93.91
2/20/2020,0,3,1,0,0,0,34800000,0,0,93.91
2/21/2020,0,3,0,0,0,0,34800000,0,0,93.91
2/22/2020,0,3,0,0,0,0,34800000,0,0,93.91
2/23/2020,0,3,0,0,0,0,34800000,0,0,93.91
2/24/2020,0,3,0,0,0,0,34800000,0,0,93.91
2/25/2020,0,3,0,0,0,0,34800000,0,0,93.91
2/26/2020,0,3,0,0,0,0,34800000,0,0,93.91
2/27/2020,0,3,0,0,0,0,34800000,0,0,93.91
2/28/2020,0,3,0,0,0,0,34800000,0,0,93.91
2/29/2020,0,3,0,0,0,0,34800000,0,0,93.91
3/1/2020,0,3,0,0,0,0,34800000,0,0,93.91
3/2/2020,0,3,0,0,0,0,34800000,0,0,93.91
3/3/2020,0,3,0,0,0,0,34800000,0,0,93.91
3/4/2020,0,3,0,0,0,0,34800000,552,552,93.91
3/5/2020,0,3,0,0,0,0,34800000,22,574,93.91
3/6/2020,0,3,0,0,0,0,34800000,57,631,93.91
3/7/2020,0,3,0,0,0,0,34800000,51,682,93.91
3/8/2020,0,3,0,0,0,0,34800000,47,729,93.91
3/9/2020,6,9,0,6,0,0,34800000,78,807,93.91
3/10/2020,8,17,0,14,0,0,34800000,173,980,93.91
3/11/2020,0,17,0,14,0,0,34800000,199,1179,93.91
3/12/2020,2,19,0,16,0,0,34800000,198,1377,93.91
3/13/2020,3,22,0,19,0,0,34800000,338,1715,93.91
3/14/2020,0,22,0,19,0,0,34800000,182,1897,93.91
3/15/2020,2,24,0,21,0,0,34800000,250,2147,93.91
3/16/2020,3,27,0,24,0,0,34800000,150,2297,93.91
3/17/2020,0,27,0,24,0,0,34800000,170,2467,93.91
3/18/2020,0,27,0,24,0,0,34800000,83,2550,93.91
3/19/2020,1,28,0,25,0,0,34800000,371,2921,93.91
3/20/2020,12,40,0,37,0,0,34800000,515,3436,93.91
3/21/2020,12,52,0,49,0,0,34800000,280,3716,93.91
3/22/2020,15,67,0,64,0,0,34800000,319,4035,93.91
3/23/2020,28,95,1,91,0,0,34800000,256,4291,93.91
3/24/2020,14,109,0,105,0,0,34800000,225,4516,93.91
3/25/2020,9,118,2,112,0,0,34800000,386,4902,93.91
3/26/2020,19,137,6,125,0,0,34800000,440,5342,93.91
3/27/2020,39,176,0,164,0,0,34800000,337,5679,93.91
3/28/2020,6,182,4,165,1,1,34800000,388,6067,93.91
3/29/2020,20,202,4,181,0,1,34800000,623,6690,93.91
3/30/2020,32,234,0,213,0,1,34800000,301,6991,93.91
3/31/2020,7,241,4,215,1,2,34800000,494,7485,93.91
4/1/2020,24,265,2,237,0,2,34800000,480,7965,93.91
4/2/2020,21,286,2,256,0,2,34800000,491,8456,93.91
4/3/2020,9,295,14,251,0,2,34800000,683,9139,93.91
4/4/2020,11,306,8,254,0,2,34800000,605,9744,93.91
4/5/2020,8,314,6,256,0,2,34800000,477,10221,93.91
4/6/2020,13,327,3,266,0,2,34800000,495,10716,93.91
4/7/2020,9,336,12,262,0,2,34800000,516,11232,93.91
4/8/2020,9,345,13,258,0,2,34800000,754,11986,93.91
4/9/2020,12,357,13,257,0,2,34800000,724,12710,93.91
4/10/2020,7,364,27,237,0,2,34800000,629,13339,93.91
4/11/2020,10,373,19,228,0,2,34800000,824,14163,93.91
4/12/2020,2,375,36,194,0,2,34800000,829,14992,93.91
4/13/2020,3,378,19,178,0,2,34800000,694,15686,93.91
4/14/2020,8,386,13,173,0,2,34800000,552,16238,93.91
